id,inclinacion_peligrosa
1,0.4863571428571429
2,0.513257142857143
4,0.4154354340104342
6,0.4313409895659896
9,0.4313934065934064
13,0.4273340383284023
14,0.3055162706100126
17,0.28767160124429053
23,0.39685210067710075
28,0.2647686476577927
30,0.37455657748049054
31,0.4058673716617357
34,0.41533161245239153
35,0.2987729559748429
44,0.4259941855518067
48,0.44320739610630916
49,0.4187784827728469
51,0.2872193320611086
52,0.4674630981574623
53,0.43569953657453675
61,0.27268037317411514
62,0.4398217948717949
66,0.2797332840281202
73,0.4523573961063091
83,0.6214689810189812
86,0.4650384615384616
92,0.37293709696100985
102,0.30900809988455524
110,0.2032479216776108
111,0.4423055280803691
115,0.13210000000000002
119,0.2932179866110901
120,0.34969957175577837
122,0.30157545787545786
123,0.37857873842244516
127,0.3446932405602052
128,0.33510919540229883
131,0.1630666666666667
141,0.304309195402299
142,0.32401798661109005
144,0.27237586206896547
152,0.3995425287356322
156,0.3834425287356322
157,0.3010091954022989
158,0.26247586206896556
160,0.29448156168307726
163,0.17513333333333334
164,0.24550000000000002
167,0.3032455768345923
169,0.2024
171,0.3705758620689656
175,0.3439091954022989
176,0.32318465327775675
178,0.3077267167698203
183,0.3740425287356322
184,0.3676425287356323
197,0.24429999999999993
201,0.30098465327775675
202,0.2894846532777567
203,0.3915091954022989
209,0.6378088132125991
210,0.6305737100378542
214,0.3983808588259336
221,0.43006400900908376
225,0.5180005934338788
227,0.5467
236,0.5747752136752136
238,0.5459778089391467
241,0.4662456551740133
244,0.5303760683760683
249,0.4208278298033025
251,0.4332872237426963
254,0.23937380952380954
256,0.2793166666666667
264,0.2714333333333334
267,0.4416404955277634
270,0.4474501836703928
273,0.6192355309203446
275,0.4343883555520635
276,0.43661292876843194
279,0.40526360646910964
280,0.40372068716551845
285,0.531235910864093
286,0.5321359108640932
287,0.5182146162482432
289,0.4747108668090511
290,0.46547267081237687
300,0.6243826863002826
301,0.42279151472650767
302,0.622068864253678
303,0.6360252824568107
304,0.6363124539972678
307,0.6449899883391635
312,0.6461566550058303
315,0.6227144716459998
319,0.47425044261771043
323,0.506225900840732
328,0.3218333333333333
336,0.3029179168874368
343,0.39920250096094545
345,0.4270877597667924
346,0.4116284428310829
350,0.43606717713444504
356,0.46051236712064486
363,0.3492833333333334
365,0.4569490297004801
368,0.609815739521571
370,0.4980573109657553
371,0.49322320796114216
373,0.5715692998118035
374,0.45655234572557407
375,0.4787208144861234
376,0.44832553710761125
377,0.45090292165431767
379,0.4532159245136017
380,0.44979039085186107
381,0.46941943217787646
385,0.5544282504086065
388,0.5236135514958339
399,0.5097065030568613
404,0.5063731697235279
409,0.6000189741696506
411,0.47426591831795134
417,0.5652122307496414
420,0.4108333333333335
421,0.4113227781782814
436,0.4367666666666667
441,0.37457663048213374
442,0.5007204944041453
450,0.39333865734416046
455,0.44120620646170955
456,0.4403111478166509
461,0.568770803429171
462,0.5067155362301918
464,0.4186666666666668
467,0.5770876568372008
475,0.69168087673854906
478,0.4076000000000001
484,0.7244674959499754
485,0.1929666666666667
493,0.4329990997114996
499,0.4642595651926316
504,0.5198757396119039
505,0.706836681754805
509,0.37910000000000005
510,0.5103345415942354
517,0.2957833333333333
521,0.5574451863837339
522,0.6651871690701184
528,0.19506666666666672
534,0.6503037044605822
538,0.2034166666666667
539,0.4644065489585028
542,0.4777325694823085
545,0.3436333333333333
547,0.6349010585884691
548,0.24659047619047622
550,0.5087238095238096
563,0.6730513379001707
569,0.6504766589406044
573,0.6949584008041321
574,0.5491401056709081
576,0.6609969203785131
577,0.5397100868505704
579,0.2525666666666667
580,0.6823072302980044
582,0.6140899520631514
585,0.6921153551571436
586,0.7158812085034568
590,0.4605962718717445
594,0.7403777225980199
604,0.6794769416099062
606,0.37123333333333325
607,0.5344363495516907
612,0.5334091636525516
614,0.6069254686118221
615,0.6715796029200873
617,0.488306670701502
619,0.5538426307895425
629,0.4792111111111112
632,0.2224666666666667
635,0.22513333333333338
637,0.4667378926390174
639,0.22366666666666668
640,0.22513333333333338
642,0.45248333333333346
644,0.30189047619047626
645,0.4638111111111111
648,0.37733333333333346
649,0.25412380952380953
653,0.41453231175941746
659,0.4561486528241255
661,0.48072049547422907
668,0.4656682539682539
670,0.36506077922077906
676,0.46336363636363637
683,0.36899371543489173
687,0.404244658119658
690,0.32871725023342674
692,0.40052550377850105
694,0.5020247147306347
699,0.3296332635144055
701,0.5590212077096421
702,0.568131867184265
704,0.3613171954563258
705,0.2662482142857144
707,0.3444171954563257
710,0.3233397765756256
714,0.3633171954563258
717,0.20984782608695654
718,0.19718115942028985
720,0.16335238095238094
721,0.2450190476190476
722,0.1712857142857143
726,0.19901449275362318
734,0.34708386212299247
736,0.1624982142857143
737,0.30801488095238083
738,0.4278259237617729
739,0.4278670493028984
740,0.2961122797908012
747,0.23008571428571425
749,0.1397190476190476
756,0.17526904761904769
757,0.34231170464755384
762,0.5933335994194482
768,0.4340097914472916
773,0.6197006390464883
774,0.4378720776079268
775,0.32740659880659895
776,0.365414880952381
783,0.5592735994194483
788,0.5367624883083373
789,0.5443212184670674
798,0.2350190476190476
799,0.22795238095238096
802,0.2708117046475538
804,0.2787117046475537
812,0.22474503798088707
816,0.1944117046475537
817,0.22624503798088702
821,0.20827837131422036
825,0.20874503798088703
829,0.07074027607612512
830,0.2727069427427918
832,0.26950694274279186
834,0.14573075226660134
835,0.1965160336518828
836,0.28068313321898236
840,0.26169265702850614
841,0.3136766397124888
843,0.2151117046475537
847,0.20794503798088704
849,0.19174503798088705
850,0.19574503798088702
852,0.2102450379808871
857,0.29603993213993207
863,0.2627450379808871
872,0.30590997304582207
878,0.3318425287356322
881,0.29585307950727874
882,0.3299933834364868
890,0.36164509547534274
